time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376215,192.168.0.11,192.168.0.12,2700,1.7625729e+09,1.76257296e+09,896,1,1,59.79988909,45.0,0.022222018,0.062584685,0.0,0.202800035
29376215,192.168.0.12,192.168.0.11,900,1.7625729e+09,1.76257296e+09,298,1,1,59.80035901,15.0,0.066666932,0.094168643,0.0,0.201622248
29376215,192.168.0.21,192.168.0.11,2880,1.7625729e+09,1.76257296e+09,952,1,1,59.50169706,48.0,0.020833234,0.099691082,0.0,0.500342846
29376215,192.168.0.21,192.168.0.12,1800,1.7625729e+09,1.76257296e+09,596,1,1,59.50138879,30.0,0.033333208,0.124562532,0.0,0.5008533
29376216,192.168.0.11,192.168.0.12,2700,1.76257296e+09,1.76257302e+09,897,1,1,59.80064702,45.0,0.022222527,0.062583812,0.0,0.208470106
29376216,192.168.0.12,192.168.0.11,900,1.76257296e+09,1.76257302e+09,298,1,1,59.79997587,15.0,0.066666624,0.094177694,0.0,0.20074892
29376216,192.168.0.21,192.168.0.11,2880,1.76257296e+09,1.76257302e+09,953,1,1,59.5007019,48.0,0.020833271,0.099698295,0.0,0.500179052
29376216,192.168.0.21,192.168.0.12,1800,1.76257296e+09,1.76257302e+09,594,1,1,59.50021982,30.0,0.033333227,0.124597465,0.0,0.500732899
29376217,192.168.0.11,192.168.0.12,2700,1.76257302e+09,1.76257308e+09,894,1,1,59.80095196,45.0,0.02222219,0.062577411,0.0,0.200991869
29376217,192.168.0.12,192.168.0.11,900,1.76257302e+09,1.76257308e+09,300,1,1,59.7998879,15.0,0.066666647,0.094176601,0.0,0.201213837
29376217,192.168.0.21,192.168.0.11,2880,1.76257302e+09,1.76257308e+09,953,1,1,59.5009861,48.0,0.020833373,0.099689262,0.0,0.501195908
